RA,JC,AA,PA,PPS,SPS,Label
0.003164557,0.010989011,0.173739539,180,0.316227766,0.074953169,1
2.10E-05,0.001338688,0.092856859,2235,0.090166963,0.021324919,1
0.195359659,0.215686275,4.469310045,3115,0.430730492,0.137441627,1
0.000625284,0.004020313,1.785215756,188200,0.257604919,0.043801597,1
0.039042348,0.071942446,1.69883002,3294,0.199561447,0,1
0.013601217,0.005395683,0.532212575,24528,0,0.021449648,1
0.042048398,0.034482759,1.614777424,23000,0.081325006,0.052981294,1
0.889260633,0.284313725,7.843672816,3828,0.647894622,0.43401854,1
0,0,0,290,0,0,1
0,0,0,4,0,0,1
0.002808989,0.013888889,0.170214773,210,0.100503782,0.076471911,1
0.951594491,0.030596068,30.15036115,3126494,0.207988908,0.131674411,1
0,0,0,196,0,0,1
0,0,0,222,0,0,1
0.01538042,0.020997375,1.236098318,27930,0.043099712,0.043151545,1
0.676548622,0.105376344,16.60330449,228852,0.297222721,0.162362729,1
0,0,0,5775,0,0,1
0.04536987,0.094339623,1.035697944,805,0.186500962,0.088910845,1
0.00263433,0.009803922,0.30063074,1773,0.125988158,0.024573659,1
0.011255543,0.01153107,7.929046566,773875,0.422735513,0.081905486,1
0.014067896,0.017156863,1.065829941,3654,0.120172781,0.095238095,1
0.003996298,0.035714286,0.547852151,2208,0.15713484,0.087537622,1
0.001203476,0.006410256,0.269296989,23973,0.032448554,0,1
0.027777778,0.012345679,0.279055313,237,0.097590007,0,1
0.245239638,0.037037037,3.472139662,9988,0.172431385,0.115278084,1
0.001176399,0.006968641,0.222057295,9960,0.036273813,0.020244408,1
1.818983804,0.00963626,44.83868745,21710052,0.16914051,0.061400511,1
0.003464891,0.005167959,0.267236587,27324,0.013032151,0.012160808,1
0.024308816,0.051948052,0.671823655,1260,0.15430335,0.063660701,1
0.00079354,0.010471204,0.25439184,2172,0.149071198,0.043153185,1
0,0,0,176,0,0,1
0.062115219,0.019373219,5.199982929,657624,0.052007469,0.032799432,1
0.001348133,0.00623053,0.237577627,7450,0.094280904,0.011664237,1
0.050405677,0.06010929,1.860354797,9393,0.19245009,0.121854359,1
0.000213778,0.003597122,0.463030378,20700,0.087841046,0.035045677,1
0.002620894,0.008547009,0.41679401,1400,0.08295019,0,1
0.038036007,0.004744333,3.672640846,921632,0.107684936,0.027503058,1
0.075716709,0.070332481,8.045959594,165830,0.161182466,0.118422018,1
0,0,0,735,0,0,1
0.109076847,0.066465257,3.813672435,24346,0.221601315,0.116310526,1
0,0,0,7040,0,0,1
0.002105263,0.003649635,0.162250353,2136,0.043193421,0.022316092,1
0.59512216,0.036507937,5.549804553,46822,0.189524511,0.079787516,1
0.000634518,0.003968254,0.13582075,13840,0.032274861,0,1
0,0,0,31845,0,0,1
0.026392216,0.052631579,2.137403023,15631,0.142965692,0.066666667,1
0.159138965,0.057989691,6.708942257,163398,0.144522024,0.051993146,1
0.001022734,0.016447368,0.558453547,22388,0.154746115,0.026872886,1
0.118143935,0.03549518,11.09163502,1146442,0.166016626,0.062500676,1
0.000415782,0.001068947,0.599651361,89648,0.057312054,0.020053548,1
0.007228715,0.013043478,0.490514249,2860,0.075023448,0.046065344,1
0,0,0,52,0,0,1
0,0,0,6030,0,0,1
0.005902552,0.009536785,0.908924364,77000,0.029704426,0.025663245,1
0.213773739,0.004705882,1.233187704,46168,0.020956487,0.008635785,1
0.021959566,0.12962963,1.165661189,858,0.292684704,0.106600358,1
5.41E-05,0.001549187,0.18784202,7722,0.060522753,0.023599744,1
0.014670447,0.000348554,0.377243465,690891,0.084515425,0.03086067,1
0.00102882,0.000196971,1.829965153,2314944,0.092144268,0.01248915,1
0.000544649,0.007797271,0.445095357,43260,0.071269665,0.019231658,1
0.002387946,0.006153846,0.239451654,1926,0.058470535,0.0277137,1
0.001447277,0.020958084,0.814624467,17940,0.085366559,0.052742015,1
2.098179938,0.101468625,16.93573414,84014,0.298781503,0.07249797,1
0.377673458,0.088495575,3.885999089,12425,0.266518642,0.09166985,1
0.155724664,0.039092055,4.655958151,150700,0.061928112,0.039959561,1
3.33E-05,0.003937008,0.097002751,16124,0.024485105,0.007875237,1
0,0,0,14,0,0,1
0,0,0,18,0,0,1
0.006793509,0.021305842,3.437039026,153888,0.325166239,0.069155335,1
0.031705998,0.054054054,1.693012027,3956,0.434782609,0.15899075,1
0.000970552,0.007722008,0.233600023,11774,0.058722022,0.009476226,1
0,0,0,4878,0,0,1
0.019532747,0.02283105,1.580943813,7327,0.205716032,0.08790613,1
1.107557101,0.247104247,15.27339369,20230,0.472616791,0.466800786,1
0.000446503,0.016453382,0.88099413,48723,0.150062539,0.036365139,1
0.001074865,0.002684564,0.265335459,8820,0.026593488,0.021713492,1
0.114911208,0.123123123,6.821470915,20328,0.419109869,0.240120862,1
0.0010942,0.006097561,0.224144031,8181,0.028930869,0.013540741,1
1.413125091,0.014672079,49.87413372,33572082,0.203108281,0.053065929,1
0.000458654,0.001834862,0.217537317,12960,0.039374962,0.017699808,1
0.002957309,0.001109262,0.268387916,9000,0.108465229,0.02125976,1
0.00011635,0.000766754,0.46164884,143088,0.056498077,0.013316724,1
0.003134796,0.010869565,0.173454788,356,0.114707867,0,1
0.003765063,0.001090513,0.448573394,11000,0.110581467,0.028931878,1
1.518193844,0.055803571,11.62525583,96280,0.172156864,0.101152767,1
0.000587137,0.00952381,0.235108468,5460,0.097590007,0,1
